Date	Open	High	Low	Close	Volume	Adj Close
2015-02-18	541.402458	545.492471	537.512456	539.702422	1453100	539.702422
2015-02-17	546.832511	550.00246	541.092465	542.842504	1616800	542.842504
2015-02-13	543.352447	549.912491	543.132484	549.012501	1900300	549.012501
2015-02-12	537.252405	544.822482	534.675391	542.932472	1620200	542.932472
2015-02-11	535.302416	538.452473	533.380397	535.972405	1377800	535.972405
2015-02-10	529.302379	537.702431	526.922378	536.942412	1749900	536.942412
2015-02-09	528.002366	532.002411	526.022388	527.832406	1267800	527.832406
2015-02-06	527.642431	537.202463	526.412373	531.002415	1749400	531.002415
2015-02-05	523.792334	528.502395	522.092359	527.582391	1849800	527.582391
2015-02-04	529.2424	532.67442	521.272361	522.762349	1663700	522.762349
2015-02-03	528.002366	533.40243	523.262377	529.2424	2038700	529.2424
2015-02-02	531.732383	533.002407	518.552316	528.482381	2849800	528.482381
2015-01-30	515.862322	539.872444	515.522339	534.522445	5606400	534.522445
2015-01-29	511.002313	511.092313	501.202274	510.662331	4186400	510.662331
2015-01-28	522.782423	522.992349	510.002318	510.002318	1683800	510.002318
2015-01-27	529.972369	530.702398	518.192381	518.63237	1904000	518.63237
2015-01-26	538.532466	539.002444	529.672413	535.212448	1543700	535.212448
2015-01-23	535.592457	542.172453	533.002407	539.952437	2281700	539.952437
2015-01-22	521.482349	536.332463	519.702382	534.39245	2676900	534.39245
2015-01-21	507.252283	519.282407	506.202315	518.042312	2268700	518.042312
2015-01-20	511.002313	512.502307	506.018277	506.902294	2227900	506.902294
2015-01-16	500.012273	508.1923	500.002267	508.082288	2298300	508.082288
2015-01-15	505.572291	505.682273	497.762267	501.792271	2715800	501.792271
2015-01-14	494.652237	503.232286	493.002234	500.872267	2235700	500.872267
2015-01-13	498.842256	502.982302	492.392254	496.182251	2370500	496.182251
2015-01-12	494.942247	495.978261	487.562205	492.552209	2322400	492.552209
2015-01-09	504.7623	504.922285	494.792239	496.172274	2069400	496.172274
2015-01-08	497.992238	503.4823	491.002212	502.682255	3353600	502.682255
2015-01-07	507.002299	507.246285	499.652247	501.102268	2065100	501.102268
2015-01-06	515.002358	516.177334	501.052266	501.962262	2899900	501.962262
2015-01-05	523.262377	524.332389	513.062315	513.872306	2059800	513.872306
2015-01-02	529.012399	531.272443	524.102327	524.812404	1447600	524.812404
2014-12-31	531.252429	532.602384	525.802363	526.402397	1368200	526.402397
2014-12-30	528.092396	531.152424	527.132366	530.422394	876300	530.422394
2014-12-29	532.192446	535.482414	530.013375	530.332426	2278500	530.332426
2014-12-26	528.772422	534.252417	527.312364	534.032454	1036000	534.032454
2014-12-24	530.512424	531.761394	527.022384	528.772422	705900	528.772422
2014-12-23	527.00237	534.56241	526.292354	530.592416	2197600	530.592416
2014-12-22	516.082347	526.462376	516.082347	524.872383	2723800	524.872383
2014-12-19	511.512318	517.722342	506.91331	516.352313	3690200	516.352313
2014-12-18	512.952333	513.872306	504.70229	511.102319	2926700	511.102319
2014-12-17	497.002248	507.002299	496.812244	504.892295	2883200	504.892295
2014-12-16	511.562321	513.052308	489.00222	495.392273	3964300	495.392273
2014-12-15	522.742335	523.102331	513.272333	513.80229	2813400	513.80229
2014-12-12	523.512391	528.502395	518.662298	518.662298	1994600	518.662298
2014-12-11	527.802355	533.922411	527.102376	528.34241	1610800	528.34241
2014-12-10	533.082399	536.332463	525.562386	526.062353	1712300	526.062353
2014-12-09	522.142362	534.192438	520.502366	533.37244	1871300	533.37244
2014-12-08	527.132366	531.002415	523.792334	526.982357	2329400	526.982357
2014-12-05	531.002415	532.892425	524.282386	525.262369	2565600	525.262369
2014-12-04	531.1624	537.342434	528.592424	537.312445	1392100	537.312445
2014-12-03	531.442404	535.998416	529.262414	531.322384	1278000	531.322384
2014-12-02	533.512412	535.502427	529.802408	533.752389	1525800	533.752389
2014-12-01	538.902438	541.412434	531.862379	533.802391	2115400	533.802391
2014-11-28	540.622426	542.002431	536.602429	541.832471	1148300	541.832471
2014-11-26	540.882478	541.552406	537.044437	540.372412	1523000	540.372412
2014-11-25	539.002444	543.98241	538.60444	541.082489	1789100	541.082489
2014-11-24	537.652489	542.702471	535.622446	539.272471	1706000	539.272471
2014-11-21	541.612446	542.142464	536.562402	537.502419	2223700	537.502419
2014-11-20	531.252429	535.112381	531.082408	534.832438	1562000	534.832438
2014-11-19	535.002399	538.242425	530.082412	536.992415	1391600	536.992415
2014-11-18	537.502419	541.942452	534.172425	535.032449	1962700	535.032449
2014-11-17	543.582448	543.792436	534.063361	536.512461	1725800	536.512461
2014-11-14	546.682442	546.682442	542.152501	544.402507	1289200	544.402507
2014-11-13	549.802448	549.802448	543.482442	545.38249	1339400	545.38249
2014-11-12	550.392507	550.462523	545.172441	547.312465	1129400	547.312465
2014-11-11	548.492459	551.942473	546.302493	550.29244	965500	550.29244
2014-11-10	541.462498	549.592522	541.022449	547.492463	1134600	547.492463
2014-11-07	546.212525	546.212525	538.672437	541.012473	1633800	541.012473
2014-11-06	545.502448	546.887472	540.972385	542.042458	1333300	542.042458
2014-11-05	556.802481	556.802481	544.052426	545.922423	2032300	545.922423
2014-11-04	553.002509	555.502529	549.302481	554.112486	1244200	554.112486
2014-11-03	555.502529	557.902544	553.23251	555.222464	1382300	555.222464
2014-10-31	559.352504	559.572529	554.752486	559.082538	2035100	559.082538
2014-10-30	548.952522	552.802497	543.512493	550.312514	1455500	550.312514
2014-10-29	550.00246	554.19254	546.982459	549.332532	1770500	549.332532
2014-10-28	543.002488	548.98245	541.622422	548.902519	1271000	548.902519
2014-10-27	537.032441	544.412422	537.032441	540.772496	1185300	540.772496
